iter	Passed	Remaining
0	160	160661
1	165	82570
2	173	57506
3	176	44052
4	180	35922
5	186	30854
6	189	26830
7	192	23821
8	194	21431
9	197	19590
10	200	17994
11	203	16751
12	206	15648
13	208	14700
14	210	13803
15	212	13072
16	214	12392
17	216	11805
18	217	11255
19	220	10794
20	222	10359
21	223	9949
22	225	9584
23	227	9264
24	229	8960
25	231	8673
26	232	8395
27	237	8232
28	238	7994
29	240	7780
30	242	7585
31	249	7537
32	251	7366
33	253	7202
34	254	7030
35	259	6961
36	262	6825
37	263	6679
38	266	6557
39	273	6553
40	275	6451
41	277	6337
42	279	6223
43	283	6164
44	285	6061
45	287	5963
46	289	5860
47	296	5879
48	298	5784
49	300	5706
50	301	5619
51	305	5571
52	307	5502
53	309	5426
54	311	5359
55	313	5282
56	323	5351
57	325	5281
58	334	5341
59	336	5272
60	338	5204
61	345	5234
62	348	5183
63	351	5135
64	352	5074
65	361	5112
66	362	5052
67	364	4992
68	366	4938
69	372	4948
70	374	4895
71	376	4847
72	377	4795
73	379	4744
74	387	4783
75	389	4737
76	391	4688
77	392	4642
78	397	4636
79	399	4596
80	405	4599
81	407	4567
82	408	4517
83	428	4676
84	431	4649
85	434	4614
86	442	4644
87	445	4612
88	447	4580
89	449	4547
90	451	4511
91	454	4483
92	456	4454
93	459	4428
94	461	4399
95	465	4385
96	468	4363
97	471	4337
98	474	4320
99	476	4291
100	479	4267
101	482	4245
102	492	4285
103	494	4261
104	496	4235
105	505	4259
106	507	4232
107	510	4213
108	518	4239
109	520	4214
110	524	4198
111	533	4227
112	535	4204
113	543	4227
114	546	4205
115	554	4227
116	556	4198
117	564	4221
118	568	4211
119	576	4228
120	578	4204
121	580	4177
122	594	4236
123	603	4266
124	606	4245
125	617	4280
126	619	4255
127	629	4286
128	632	4272
129	635	4252
130	644	4272
131	647	4255
132	649	4231
133	658	4253
134	660	4231
135	662	4207
136	671	4227
137	675	4220
138	678	4201
139	680	4181
140	682	4158
141	683	4131
142	691	4146
143	694	4131
144	698	4120
145	703	4113
146	704	4089
147	706	4065
148	710	4055
149	712	4036
150	714	4014
151	715	3993
152	717	3970
153	718	3947
154	725	3954
155	726	3932
156	728	3911
157	730	3890
158	731	3869
159	738	3875
160	739	3852
161	740	3832
162	742	3813
163	744	3793
164	747	3783
165	749	3766
166	751	3746
167	752	3728
168	754	3712
169	758	3703
170	760	3686
171	761	3667
172	763	3650
173	765	3632
174	766	3614
175	768	3599
176	771	3585
177	773	3570
178	779	3577
179	781	3560
180	783	3546
181	785	3528
182	786	3511
183	793	3517
184	794	3501
185	796	3485
186	797	3468
187	799	3453
188	804	3450
189	805	3435
190	807	3419
191	808	3403
192	810	3389
193	818	3400
194	820	3386
195	821	3371
196	823	3355
197	882	3574
198	884	3560
199	886	3546
200	907	3606
201	909	3593
202	911	3576
203	913	3563
204	914	3547
205	918	3539
206	923	3539
207	925	3524
208	927	3511
209	931	3502
210	933	3491
211	935	3476
212	940	3475
213	945	3471
214	947	3459
215	949	3445
216	950	3430
217	956	3432
218	959	3422
219	961	3409
220	963	3394
221	964	3380
222	970	3382
223	973	3372
224	974	3357
225	976	3343
226	977	3329
227	981	3324
228	983	3311
229	985	3299
230	987	3286
231	991	3282
232	993	3271
233	995	3258
234	996	3245
235	1001	3242
236	1006	3239
237	1007	3226
238	1009	3212
239	1010	3200
240	1014	3196
241	1019	3192
242	1020	3180
243	1023	3170
244	1024	3158
245	1026	3147
246	1028	3136
247	1030	3123
248	1031	3111
249	1033	3101
250	1037	3096
251	1040	3088
252	1043	3079
253	1046	3072
254	1049	3067
255	1053	3061
256	1055	3050
257	1056	3039
258	1058	3028
259	1059	3016
260	1063	3010
261	1066	3003
262	1067	2992
263	1069	2981
264	1071	2970
265	1076	2971
266	1078	2961
267	1081	2953
268	1083	2943
269	1086	2937
270	1088	2929
271	1090	2919
272	1092	2908
273	1093	2897
274	1095	2887
275	1100	2885
276	1103	2880
277	1105	2871
278	1107	2862
279	1109	2852
280	1112	2845
281	1115	2839
282	1116	2829
283	1118	2819
284	1120	2810
285	1124	2807
286	1172	2912
287	1175	2906
288	1177	2897
289	1184	2901
290	1190	2901
291	1192	2892
292	1194	2883
293	1196	2874
294	1198	2865
295	1231	2927
296	1232	2917
297	1234	2908
298	1236	2897
299	1237	2887
300	1241	2882
301	1242	2872
302	1244	2862
303	1247	2855
304	1259	2870
305	1262	2862
306	1270	2868
307	1272	2858
308	1273	2848
309	1281	2852
310	1285	2846
311	1287	2838
312	1289	2830
313	1291	2821
314	1293	2812
315	1294	2802
316	1296	2794
317	1304	2798
318	1306	2789
319	1308	2779
320	1309	2770
321	1311	2761
322	1313	2752
323	1314	2742
324	1316	2734
325	1318	2725
326	1325	2727
327	1327	2718
328	1328	2709
329	1330	2701
330	1332	2692
331	1340	2697
332	1342	2688
333	1343	2679
334	1345	2670
335	1353	2673
336	1354	2665
337	1356	2655
338	1358	2648
339	1366	2652
340	1368	2644
341	1370	2636
342	1371	2627
343	1373	2618
344	1375	2611
345	1377	2604
346	1379	2595
347	1380	2586
348	1387	2588
349	1389	2580
350	1391	2572
351	1393	2565
352	1394	2556
353	1399	2553
354	1401	2545
355	1402	2537
356	1404	2529
357	1406	2522
358	1410	2518
359	1411	2509
360	1413	2501
361	1414	2493
362	1416	2485
363	1418	2478
364	1420	2471
365	1422	2464
366	1431	2469
367	1433	2461
368	1434	2453
369	1436	2446
370	1438	2438
371	1439	2430
372	1441	2422
373	1442	2415
374	1444	2407
375	1448	2403
376	1451	2398
377	1453	2391
378	1455	2384
379	1456	2376
380	1457	2368
381	1460	2363
382	1462	2356
383	1464	2348
384	1465	2341
385	1470	2339
386	1472	2332
387	1474	2325
388	1475	2317
389	1477	2310
390	1483	2310
391	1485	2303
392	1487	2296
393	1488	2289
394	1490	2282
395	1493	2278
396	1495	2271
397	1497	2264
398	1498	2257
399	1500	2250
400	1501	2243
401	1508	2244
402	1510	2238
403	1512	2231
404	1514	2224
405	1520	2225
406	1523	2219
407	1524	2212
408	1526	2205
409	1527	2198
410	1535	2199
411	1536	2192
412	1537	2185
413	1540	2179
414	1541	2172
415	1545	2170
416	1548	2164
417	1550	2158
418	1551	2151
419	1552	2144
420	1556	2140
421	1561	2138
422	1562	2131
423	1564	2125
424	1565	2118
425	1569	2115
426	1571	2108
427	1572	2102
428	1574	2095
429	1576	2089
430	1577	2082
431	1580	2077
432	1581	2071
433	1583	2064
434	1584	2058
435	1586	2052
436	1594	2054
437	1595	2047
438	1597	2041
439	1599	2035
440	1600	2028
441	1602	2023
442	1604	2016
443	1606	2011
444	1607	2004
445	1615	2006
446	1617	2000
447	1618	1994
448	1619	1987
449	1621	1982
450	1628	1982
451	1630	1977
452	1632	1970
453	1633	1964
454	1634	1958
455	1643	1960
456	1645	1955
457	1647	1949
458	1648	1943
459	1657	1945
460	1659	1940
461	1660	1934
462	1662	1928
463	1669	1928
464	1671	1923
465	1673	1917
466	1674	1911
467	1676	1906
468	1683	1905
469	1685	1900
470	1686	1894
471	1687	1888
472	1690	1883
473	1697	1884
474	1699	1878
475	1701	1872
476	1702	1866
477	1704	1861
478	1712	1862
479	1713	1856
480	1717	1853
481	1728	1857
482	1729	1851
483	1731	1845
484	1735	1842
485	1738	1839
486	1740	1833
487	1742	1827
488	1743	1822
489	1745	1816
490	1747	1811
491	1749	1806
492	1751	1801
493	1752	1795
494	1754	1789
495	1756	1784
496	1757	1779
497	1759	1773
498	1761	1768
499	1768	1768
500	1770	1763
501	1772	1758
502	1773	1752
503	1775	1747
504	1782	1747
505	1784	1742
506	1786	1736
507	1787	1731
508	1789	1725
509	1796	1726
510	1797	1720
511	1799	1715
512	1801	1709
513	1802	1704
514	1810	1704
515	1811	1699
516	1813	1694
517	1815	1689
518	1816	1683
519	1827	1686
520	1828	1681
521	1830	1675
522	1836	1675
523	1838	1669
524	1839	1664
525	1841	1659
526	1842	1653
527	1844	1648
528	1846	1643
529	1848	1638
530	1849	1633
531	1851	1628
532	1859	1629
533	1861	1624
534	1862	1618
535	1864	1613
536	1865	1608
537	1873	1608
538	1875	1603
539	1877	1599
540	1878	1593
541	1885	1593
542	1887	1588
543	1888	1583
544	1890	1578
545	1892	1573
546	1899	1572
547	1901	1568
548	1902	1563
549	1904	1557
550	1905	1553
551	1914	1553
552	1916	1549
553	1918	1544
554	1919	1538
555	1921	1534
556	1924	1530
557	1926	1525
558	1927	1520
559	1930	1516
560	1938	1516
561	1940	1512
562	1941	1507
563	1943	1502
564	1945	1497
565	1948	1493
566	1949	1489
567	1951	1483
568	1953	1479
569	1954	1474
570	1956	1470
571	1958	1465
572	1959	1460
573	1961	1455
574	1965	1452
575	1966	1447
576	1968	1443
577	1970	1438
578	1971	1433
579	1977	1432
580	1979	1427
581	1981	1423
582	1982	1418
583	1984	1413
584	1989	1411
585	1991	1406
586	1992	1402
587	1994	1397
588	1996	1392
589	1997	1388
590	2002	1385
591	2003	1381
592	2005	1376
593	2006	1371
594	2008	1367
595	2014	1365
596	2016	1360
597	2018	1356
598	2023	1354
599	2024	1349
600	2026	1345
601	2027	1340
602	2029	1336
603	2031	1331
604	2032	1326
605	2033	1322
606	2035	1317
607	2036	1313
608	2038	1308
609	2045	1307
610	2047	1303
611	2048	1298
612	2050	1294
613	2052	1290
614	2060	1289
615	2062	1285
616	2064	1281
617	2065	1276
618	2073	1276
619	2075	1272
620	2076	1267
621	2078	1263
622	2080	1258
623	2081	1254
624	2083	1250
625	2085	1245
626	2086	1241
627	2088	1236
628	2095	1236
629	2097	1231
630	2099	1227
631	2100	1223
632	2102	1218
633	2109	1217
634	2111	1213
635	2112	1209
636	2114	1205
637	2116	1200
638	2118	1196
639	2120	1192
640	2121	1188
641	2125	1185
642	2126	1180
643	2128	1176
644	2129	1172
645	2131	1167
646	2133	1163
647	2136	1160
648	2137	1156
649	2139	1151
650	2141	1147
651	2142	1143
652	2144	1139
653	2146	1135
654	2147	1131
655	2149	1127
656	2150	1122
657	2152	1118
658	2154	1114
659	2156	1110
660	2157	1106
661	2163	1104
662	2165	1100
663	2167	1096
664	2168	1092
665	2170	1088
666	2176	1086
667	2178	1082
668	2179	1078
669	2181	1074
670	2182	1070
671	2184	1066
672	2185	1062
673	2187	1058
674	2189	1053
675	2190	1050
676	2194	1046
677	2196	1043
678	2198	1039
679	2199	1035
680	2201	1031
681	2208	1029
682	2209	1025
683	2211	1021
684	2212	1017
685	2214	1013
686	2218	1010
687	2220	1007
688	2222	1003
689	2223	999
690	2225	995
691	2226	991
692	2233	989
693	2235	985
694	2237	981
695	2238	977
696	2240	973
697	2247	972
698	2249	968
699	2251	964
700	2253	961
701	2254	957
702	2256	953
703	2257	949
704	2259	945
705	2261	941
706	2262	937
707	2265	934
708	2266	930
709	2269	926
710	2270	923
711	2304	932
712	2306	928
713	2308	924
714	2310	920
715	2313	917
716	2315	913
717	2316	910
718	2318	906
719	2320	902
720	2322	898
721	2329	896
722	2330	893
723	2332	889
724	2333	885
725	2335	881
726	2343	879
727	2345	876
728	2346	872
729	2347	868
730	2349	864
731	2355	862
732	2357	858
733	2358	854
734	2360	850
735	2361	847
736	2365	844
737	2367	840
738	2369	836
739	2370	833
740	2373	829
741	2378	826
742	2379	823
743	2381	819
744	2382	815
745	2385	812
746	2386	808
747	2390	805
748	2391	801
749	2393	797
750	2394	794
751	2396	790
752	2399	787
753	2401	783
754	2403	779
755	2404	776
