iter	Passed	Remaining
0	190	190728
1	195	97442
2	231	77060
3	249	62075
4	261	51962
5	279	46223
6	298	42340
7	303	37652
8	329	36247
9	335	33179
10	375	33727
11	382	31452
12	398	30245
13	410	28940
14	420	27630
15	427	26305
16	435	25165
17	471	25718
18	498	25720
19	504	24738
20	538	25089
21	571	25392
22	636	27016
23	654	26599
24	660	25765
25	678	25433
26	731	26375
27	742	25767
28	754	25279
29	760	24577
30	770	24099
31	794	24034
32	803	23550
33	821	23327
34	830	22911
35	885	23715
36	895	23304
37	899	22771
38	901	22212
39	908	21798
40	915	21424
41	967	22057
42	981	21837
43	998	21686
44	1014	21540
45	1017	21094
46	1020	20683
47	1022	20272
48	1054	20463
49	1068	20307
50	1076	20022
51	1085	19786
52	1099	19648
53	1101	19292
54	1117	19207
55	1132	19088
56	1134	18767
57	1154	18743
58	1160	18512
59	1176	18425
60	1185	18252
61	1189	17992
62	1191	17714
63	1192	17441
64	1226	17636
65	1229	17395
66	1243	17322
67	1258	17254
68	1267	17107
69	1270	16878
70	1272	16647
71	1274	16423
72	1275	16202
73	1282	16044
74	1287	15878
75	1347	16385
76	1355	16251
77	1366	16147
78	1376	16044
79	1382	15904
80	1385	15724
81	1467	16425
82	1468	16224
83	1482	16161
84	1485	15991
85	1497	15918
86	1507	15823
87	1512	15678
88	1596	16338
89	1604	16221
90	1610	16087
91	1612	15918
92	1626	15860
93	1635	15767
94	1707	16269
95	1719	16187
96	1728	16091
97	1733	15954
98	1735	15790
99	1736	15630
100	1738	15472
101	1744	15360
102	1830	15945
103	1833	15794
104	1835	15645
105	1837	15496
106	1849	15431
107	1861	15376
108	1867	15265
109	1900	15378
110	1911	15310
111	1922	15245
112	1930	15157
113	1945	15119
114	1949	14999
115	1964	14969
116	1970	14869
117	1983	14825
118	1987	14711
119	1996	14637
120	2015	14639
121	2025	14576
122	2031	14488
123	2034	14373
124	2045	14318
125	2057	14273
126	2069	14226
127	2076	14148
128	2110	14248
129	2121	14197
130	2134	14161
131	2142	14088
132	2151	14023
133	2161	13966
134	2165	13874
135	2181	13857
136	2183	13754
137	2197	13727
138	2199	13627
139	2210	13579
140	2221	13535
141	2225	13444
142	2232	13377
143	2238	13308
144	2247	13255
145	2253	13182
146	2255	13089
147	2265	13043
148	2274	12993
149	2280	12921
150	2288	12864
151	2296	12812
152	2304	12758
153	2313	12709
154	2338	12748
155	2347	12698
156	2352	12629
157	2356	12556
158	2364	12506
159	2366	12423
160	2374	12376
161	2382	12325
162	2393	12290
163	2399	12234
164	2410	12197
165	2419	12157
166	2424	12092
167	2431	12039
168	2439	11994
169	2440	11916
170	2448	11868
171	2450	11798
172	2459	11755
173	2467	11712
174	2491	11743
175	2498	11697
176	2508	11662
177	2511	11599
178	2517	11547
179	2526	11508
180	2527	11438
181	2535	11396
182	2541	11345
183	2543	11279
184	2558	11272
185	2560	11204
186	2567	11161
187	2570	11100
188	2577	11058
189	2586	11025
190	2595	10993
191	2599	10939
192	2601	10876
193	2614	10863
194	2616	10803
195	2630	10792
196	2633	10732
197	2649	10729
198	2658	10699
199	2662	10651
200	2664	10593
201	2675	10570
202	2681	10527
203	2688	10491
204	2691	10435
205	2700	10408
206	2704	10359
207	2712	10326
208	2755	10430
209	2774	10437
210	2778	10391
211	2781	10336
212	2795	10330
213	2811	10324
214	2813	10272
215	2826	10259
216	2836	10236
